番号,計測年,計測月,性別,上半身着衣,下半身着衣,足部着衣,年齢,身長（文部省式）,身長（アントロポメータ）,体重,肩峰高,橈骨点高,橈骨茎突点高,腸骨稜上縁高,股下高,転子高,脛骨上縁高,内果端高,首の幅,肩峰幅,乳頭位横径,腸骨稜幅,"乳頭位
矢状径",腹部厚径,臀溝厚径（大腿厚径）,頭幅,頭長,足長,踵の幅,足背高（楔状骨点高）,ボール高,"足第１指
爪基部高","足第１指
爪基部長さ",手長,第２指長,指尖・指節点距離,茎状突起間幅,手幅,手首の厚さ,手厚,第１指爪基部厚,第１指爪基部幅,第１指爪基部長さ,第２指爪基部厚,第２指爪基部幅,第２指爪基部長さ,第３指爪基部厚,第３指爪基部幅,第３指爪基部長さ,第５指爪基部厚,第５指爪基部幅,第５指爪基部長さ,握力（右手）,握力（左手）,"握力計
種類",特記事項
83,2005年,11月,女の子,（不明）,（不明）,（不明）,1.31,,700,7.01,,,,,,,,,62,167,158,121,122,135,54,122,146,106,25,30,22,,,84,30,41,26,,27,15,8,11,6,7,8,5,7,8,4,7,7,3
84,2005年,11月,男の子,（不明）,（不明）,（不明）,1.38,,785,9.88,,,,,,,,,68,181,171,126,115,110,75,130,160,120,23,32,21,,,98,35,52,35,,30,16,,,,,,,,,,,,
85,2005年,11月,男の子,（不明）,（不明）,（不明）,1.44,,795,10.32,,,,,,,,,78,185,165,145,105,101,72,139,,120,25,37,21,,,,,48,38,,30,,,,,,,,,,,,,
86,2005年,11月,男の子,（不明）,（不明）,（不明）,1.08,,735,9.26,,,,,,,,,65,195,159,135,112,111,69,135,152,111,24,40,17,,,95,32,49,34,,28,20,9,11,,7,9,,8,9,,7,8,
87,2005年,11月,女の子,（不明）,（不明）,（不明）,2.63,,860,11.3,639,,,476,,,,,65,201,167,147,111,119,89,126,154,142,24,32,20,,,102,37,54,36,,29,19,9,13,9,9,10,5,9,9,7,7,8,5
88,2005年,11月,男の子,（不明）,（不明）,（不明）,3.61,,1008,15.9,778,,,579,,,,,76,226,182,166,125,123,91,136,167,168,27,42,27,,,114,41,62,41,,32,23,10,15,7,8,10,6,9,11,7,8,9,4
89,2005年,11月,男の子,（不明）,（不明）,（不明）,3.06,,884,11.7,659,,,485,,,,,72,210,165,155,111,122,88,142,165,145,25,39,23,,,105,37,57,37,,30,19,9,13,8,8,10,7,9,10,7,8,8,4
90,2005年,11月,男の子,（不明）,（不明）,（不明）,2.96,,886,13.6,660,,,495,,,,,71,211,165,149,128,128,88,136,155,147,25,36,22,,,103,37,53,37,,36,19,9,12,7,7,8,6,8,10,5,7,9,5
91,2005年,11月,男の子,（不明）,（不明）,（不明）,2.79,,915,14.9,670,,,491,,,,,78,204,170,143,122,137,101,150,170,152,28,37,24,,,106,38,56,39,,30,23,10,14,6,8,10,6,8,11,8,7,9,5
92,2005年,11月,男の子,（不明）,（不明）,（不明）,4.4,,958,14.9,739,,,551,,,,,74,211,171,168,123,137,102,142,164,153,32,40,23,,,107,35,59,42,,30,20,10,13,9,8,11,7,8,11,8,8,10,6
93,2005年,11月,女の子,（不明）,（不明）,（不明）,3.79,,905,12.8,683,,,487,,,,,73,221,178,155,103,131,100,144,165,144,26,38,22,,,98,36,54,36,,27,18,9,12,9,8,10,8,8,10,8,7,8,5
94,2005年,11月,女の子,（不明）,（不明）,（不明）,4.17,,1027,17,788,,,581,,,,,71,228,189,173,117,136,99,141,179,165,27,38,23,,,114,40,62,38,,30,20,9,14,9,8,11,7,8,12,8,8,10,7
95,2005年,11月,女の子,（不明）,（不明）,（不明）,4.48,,1017,15.9,793,,,583,,,,,73,238,184,178,127,128,99,140,170,158,30,42,26,,,113,40,62,41,,29,19,10,13,8,8,10,5,9,10,6,7,9,6
96,2005年,11月,女の子,（不明）,（不明）,（不明）,5.11,,1082,18.4,830,,,599,,,,,79,230,189,183,126,135,120,144,158,171,29,48,29,,,124,46,67,40,,31,21,10,15,9,8,11,7,9,12,10,8,10,8
97,2005年,11月,男の子,（不明）,（不明）,（不明）,4.92,,1063,18.4,809,,,588,,,,,89,236,184,188,135,141,117,150,169,165,25,45,25,,,117,46,64,42,,30,21,10,13,8,8,10,5,9,11,8,8,9,7
98,2005年,11月,男の子,（不明）,（不明）,（不明）,4.7,,987,14.9,735,,,535,,,,,72,230,192,155,123,148,93,151,168,155,30,41,25,,,104,40,58,38,,29,20,10,15,8,9,12,6,9,12,8,9,10,6
99,2005年,11月,女の子,（不明）,（不明）,（不明）,5.55,,1092,18.4,827,,,632,,,,,75,241,182,185,129,133,113,137,175,166,30,43,26,,,117,44,62,42,,31,20,11,15,10,8,11,8,9,12,10,9,10,7
100,2005年,11月,男の子,（不明）,（不明）,（不明）,6.61,,1172,18,895,,,670,,,,,80,257,197,186,127,139,97,145,170,185,30,44,27,,,133,50,73,42,,30,23,11,15,11,9,12,9,10,12,11,9,11,9
101,2005年,11月,男の子,（不明）,（不明）,（不明）,6.32,,1076,16.8,827,,,616,,,,,78,236,187,172,148,152,111,149,160,174,31,42,27,,,121,48,67,42,,31,21,12,15,11,10,13,9,10,13,9,9,10,9
102,2005年,11月,女の子,（不明）,（不明）,（不明）,5.69,,1105,18.9,852,,,636,,,,,79,245,192,183,128,126,123,138,165,167,33,46,30,,,117,47,63,42,,30,21,11,15,9,9,12,7,9,12,8,8,10,5
103,2005年,11月,女の子,（不明）,（不明）,（不明）,5.69,,1130,19,886,,,650,,,,,78,229,189,185,124,150,125,144,168,179,29,37,24,,,119,45,65,38,,30,21,10,13,10,8,11,8,8,11,9,7,9,8
104,2005年,11月,男の子,（不明）,（不明）,（不明）,1.41,,806,11.28,,,,,,,,,65,190,164,141,122,128,83,142,152,123,34,39,20,,,102,40,59,36,,28,18,9,14,9,7,10,5,8,10,7,7,9,3
105,2005年,11月,女の子,（不明）,（不明）,（不明）,1.13,,735,8.4,,,,,,,,,52,158,138,121,108,112,81,123,155,111,24,28,17,,,92,36,48,33,,21,14,8,10,5,6,7,6,6,8,7,5,7,5
106,2005年,11月,女の子,（不明）,（不明）,（不明）,0.67,,676,8.2,,,,,,,,,60,182,137,125,105,104,85,130,146,100,22,28,20,,,81,31,45,28,,24,16,8,10,5,6,8,4,7,7,4,5,7,4
107,2005年,11月,女の子,（不明）,（不明）,（不明）,0.7,,642,8,,,,,,,,,58,164,150,134,123,126,86,120,141,102,24,28,20,,,77,28,42,33,,26,17,7,10,5,6,7,6,6,7,5,6,7,6
